2	0.928065	2.15502	x	0.926396	p	1.41169e-05	px	1.04119e-05	p2	0.000752667	p2x	0.000445084	p_snap	0.00203681	0	364.995	364.725
2.5	0.91712	2.72593	x	0.919212	p	6.89087e-05	px	6.11781e-05	p2	0.00372967	p2x	0.00350704	p_snap	0.00917073	0	364.975	363.639
3	0.908282	3.30294	x	0.913715	p	0.000216833	px	0.000220232	p2	0.011775	p2x	0.0112901	p_snap	0.0269359	0	364.921	360.702
3.5	0.90068	3.88595	x	0.902816	p	0.000525868	px	0.00051427	p2	0.0283427	p2x	0.0277963	p_snap	0.0596203	0	364.808	354.655
4	0.892276	4.48292	x	0.892669	p	0.00108269	px	0.0010392	p2	0.0571887	p2x	0.0557824	p_snap	0.112018	0	364.605	344.126
4.5	0.882547	5.09888	x	0.885525	p	0.00200961	px	0.0019189	p2	0.103128	p2x	0.0984382	p_snap	0.187817	0	364.266	327.358
5	0.869011	5.75367	x	0.870775	p	0.00353835	px	0.00348023	p2	0.173363	p2x	0.169137	p_snap	0.291333	0	363.709	301.723
5.5	0.851516	6.45907	x	0.846317	p	0.00594308	px	0.00620286	p2	0.272229	p2x	0.281709	p_snap	0.419973	0	362.831	265.637
6	0.823069	7.28979	x	0.819193	p	0.0101451	px	0.0103454	p2	0.414739	p2x	0.421193	p_snap	0.579173	0	361.297	213.62
6.5	0.764983	8.49692	x	0.7616	p	0.0198219	px	0.0200929	p2	0.643513	p2x	0.64938	p_snap	0.779583	0	357.765	130.118
